,epu,spi,spi,spi,spi,spi,spi,spi,spi,spi
2000-10-01,31.5,88,105.4,103,101,100,100,100,100,100
2000-11-01,42.3,105.4,103,101,100,100,100,100,100,98.5
2000-12-01,10.1,103,101,100,100,100,100,100,98.5,97.2
2001-01-01,48.5,101,100,100,100,100,100,98.5,97.2,94.25
2001-02-01,52.6,100,100,100,100,100,98.5,97.2,94.25,95.25
2001-03-01,40.7,100,100,100,100,98.5,97.2,94.25,95.25,96.2
2001-04-01,58.2,100,100,100,98.5,97.2,94.25,95.25,96.2,96
2001-05-01,26.1,100,100,98.5,97.2,94.25,95.25,96.2,96,95.5
2001-06-01,27.7,100,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6
2001-07-01,41.3,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,92
2001-08-01,30.3,97.2,94.25,95.25,96.2,96,95.5,93.6,92,90.2
2001-09-01,38.8,94.25,95.25,96.2,96,95.5,93.6,92,90.2,88.25
2001-10-01,43.5,95.25,96.2,96,95.5,93.6,92,90.2,88.25,86.5
2001-11-01,51.1,96.2,96,95.5,93.6,92,90.2,88.25,86.5,83.8
2001-12-01,53.3,96,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5
2002-01-01,60.7,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75
2002-02-01,62.4,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25
2002-03-01,40.9,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4
2002-04-01,54.1,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5
2002-05-01,45.9,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2
2002-06-01,47.0,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75
2002-07-01,30.4,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25
2002-08-01,54.3,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8
2002-09-01,44.1,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5
2002-10-01,55.5,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25
2002-11-01,56.7,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4
2002-12-01,59.9,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25
2003-01-01,91.0,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110
2003-02-01,46.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,115
2003-03-01,28.0,92.25,92.8,94.5,96.25,99.4,104.25,110,115,114.75
2003-04-01,71.2,92.8,94.5,96.25,99.4,104.25,110,115,114.75,110.75
2003-05-01,101.6,94.5,96.25,99.4,104.25,110,115,114.75,110.75,109.8
2003-06-01,68.8,96.25,99.4,104.25,110,115,114.75,110.75,109.8,113.75
2003-07-01,55.0,99.4,104.25,110,115,114.75,110.75,109.8,113.75,124.25
2003-08-01,85.3,104.25,110,115,114.75,110.75,109.8,113.75,124.25,122
2003-09-01,61.1,110,115,114.75,110.75,109.8,113.75,124.25,122,119
2003-10-01,49.7,115,114.75,110.75,109.8,113.75,124.25,122,119,123
2003-11-01,62.9,114.75,110.75,109.8,113.75,124.25,122,119,123,131.25
2003-12-01,38.9,110.75,109.8,113.75,124.25,122,119,123,131.25,141.25
2004-01-01,53.1,109.8,113.75,124.25,122,119,123,131.25,141.25,147.2
2004-02-01,55.9,113.75,124.25,122,119,123,131.25,141.25,147.2,155.25
2004-03-01,57.6,124.25,122,119,123,131.25,141.25,147.2,155.25,156.25
2004-04-01,47.9,122,119,123,131.25,141.25,147.2,155.25,156.25,149
2004-05-01,58.9,119,123,131.25,141.25,147.2,155.25,156.25,149,130
2004-06-01,37.1,123,131.25,141.25,147.2,155.25,156.25,149,130,132.75
2004-07-01,51.1,131.25,141.25,147.2,155.25,156.25,149,130,132.75,140.4
2004-08-01,47.4,141.25,147.2,155.25,156.25,149,130,132.75,140.4,148
2004-09-01,44.3,147.2,155.25,156.25,149,130,132.75,140.4,148,148.25
2004-10-01,34.6,155.25,156.25,149,130,132.75,140.4,148,148.25,147.8
2004-11-01,61.9,156.25,149,130,132.75,140.4,148,148.25,147.8,147.75
2004-12-01,48.7,149,130,132.75,140.4,148,148.25,147.8,147.75,148.4
2005-01-01,73.2,130,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25
2005-02-01,48.8,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25
2005-03-01,39.7,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5
2005-04-01,41.2,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2
2005-05-01,79.5,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5
2005-06-01,23.7,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75
2005-07-01,46.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8
2005-08-01,61.6,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25
2005-09-01,59.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6
2005-10-01,70.0,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117
2005-11-01,52.5,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25
2005-12-01,35.5,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2
2006-01-01,64.1,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25
2006-02-01,97.8,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25,112
2006-03-01,63.5,133.8,134.25,127.6,117,113.25,110.2,109.25,112,121.4
2006-04-01,55.1,134.25,127.6,117,113.25,110.2,109.25,112,121.4,126
2006-05-01,59.4,127.6,117,113.25,110.2,109.25,112,121.4,126,130
2006-06-01,37.9,117,113.25,110.2,109.25,112,121.4,126,130,140.2
2006-07-01,47.0,113.25,110.2,109.25,112,121.4,126,130,140.2,125.5
2006-08-01,55.9,110.2,109.25,112,121.4,126,130,140.2,125.5,123.5
2006-09-01,59.3,109.25,112,121.4,126,130,140.2,125.5,123.5,125.8
2006-10-01,24.9,112,121.4,126,130,140.2,125.5,123.5,125.8,125.25
2006-11-01,70.8,121.4,126,130,140.2,125.5,123.5,125.8,125.25,123.75
2006-12-01,59.0,126,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4
2007-01-01,64.1,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5
2007-02-01,29.0,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75
2007-03-01,39.8,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66
2007-04-01,60.2,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425
2007-05-01,41.1,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55
2007-06-01,37.0,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84
2007-07-01,44.4,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25
2007-08-01,58.8,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86
2007-09-01,50.1,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075
2007-10-01,59.0,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025
2007-11-01,55.1,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38
2007-12-01,46.7,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075
2008-01-01,84.1,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225
2008-02-01,82.0,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58
2008-03-01,54.4,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275
2008-04-01,135.9,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05
2008-05-01,91.6,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22
2008-06-01,67.6,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55
2008-07-01,62.9,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25
2008-08-01,126.0,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96
2008-09-01,128.4,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85
2008-10-01,103.9,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22
2008-11-01,150.5,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975
2008-12-01,126.1,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95
2009-01-01,125.1,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64
2009-02-01,133.9,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175
2009-03-01,102.9,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3
2009-04-01,116.1,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325
2009-05-01,81.1,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58
2009-06-01,57.3,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45
2009-07-01,179.8,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3
2009-08-01,134.8,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175
2009-09-01,121.9,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825
2009-10-01,190.3,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94
2009-11-01,121.3,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575
2009-12-01,123.1,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725
2010-01-01,103.6,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725,145.22
2010-02-01,119.2,134.45,145.3,150.175,133.825,130.94,135.575,138.725,145.22,144
2010-03-01,106.0,145.3,150.175,133.825,130.94,135.575,138.725,145.22,144,153.375
2010-04-01,143.9,150.175,133.825,130.94,135.575,138.725,145.22,144,153.375,167.1
2010-05-01,95.0,133.825,130.94,135.575,138.725,145.22,144,153.375,167.1,160.4
2010-06-01,106.9,130.94,135.575,138.725,145.22,144,153.375,167.1,160.4,152.525
2010-07-01,138.5,135.575,138.725,145.22,144,153.375,167.1,160.4,152.525,146.76
2010-08-01,127.5,138.725,145.22,144,153.375,167.1,160.4,152.525,146.76,153.775
2010-09-01,95.2,145.22,144,153.375,167.1,160.4,152.525,146.76,153.775,158.375
2010-10-01,82.1,144,153.375,167.1,160.4,152.525,146.76,153.775,158.375,157.26
2010-11-01,97.9,153.375,167.1,160.4,152.525,146.76,153.775,158.375,157.26,162.525
2010-12-01,93.3,167.1,160.4,152.525,146.76,153.775,158.375,157.26,162.525,166.9
2011-01-01,125.8,160.4,152.525,146.76,153.775,158.375,157.26,162.525,166.9,171.8
2011-02-01,155.0,152.525,146.76,153.775,158.375,157.26,162.525,166.9,171.8,175.975
2011-03-01,59.0,146.76,153.775,158.375,157.26,162.525,166.9,171.8,175.975,171.05
2011-04-01,120.8,153.775,158.375,157.26,162.525,166.9,171.8,175.975,171.05,174.56
2011-05-01,135.2,158.375,157.26,162.525,166.9,171.8,175.975,171.05,174.56,177.5
2011-06-01,74.1,157.26,162.525,166.9,171.8,175.975,171.05,174.56,177.5,176.5
2011-07-01,102.7,162.525,166.9,171.8,175.975,171.05,174.56,177.5,176.5,175.026
2011-08-01,99.8,166.9,171.8,175.975,171.05,174.56,177.5,176.5,175.026,177.32
2011-09-01,140.3,171.8,175.975,171.05,174.56,177.5,176.5,175.026,177.32,174.432
2011-10-01,142.5,175.975,171.05,174.56,177.5,176.5,175.026,177.32,174.432,163.07
2011-11-01,157.7,171.05,174.56,177.5,176.5,175.026,177.32,174.432,163.07,157.62
2011-12-01,161.9,174.56,177.5,176.5,175.026,177.32,174.432,163.07,157.62,155.964
2012-01-01,159.6,177.5,176.5,175.026,177.32,174.432,163.07,157.62,155.964,153.3425
2012-02-01,120.4,176.5,175.026,177.32,174.432,163.07,157.62,155.964,153.3425,152.3
2012-03-01,139.2,175.026,177.32,174.432,163.07,157.62,155.964,153.3425,152.3,155.216
2012-04-01,136.8,177.32,174.432,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875
2012-05-01,126.3,174.432,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475
2012-06-01,133.2,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678
2012-07-01,139.0,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89
2012-08-01,120.4,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152
2012-09-01,78.8,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23
2012-10-01,120.5,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515
2012-11-01,113.1,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515,136.122
2012-12-01,122.3,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515,136.122,134.6525
2013-01-01,142.1,152.2475,148.678,141.89,132.152,129.23,135.515,136.122,134.6525,138.85
2013-02-01,130.2,148.678,141.89,132.152,129.23,135.515,136.122,134.6525,138.85,141.7
2013-03-01,84.3,141.89,132.152,129.23,135.515,136.122,134.6525,138.85,141.7,138.982
2013-04-01,90.5,132.152,129.23,135.515,136.122,134.6525,138.85,141.7,138.982,135.97
2013-05-01,119.7,129.23,135.515,136.122,134.6525,138.85,141.7,138.982,135.97,131.214
2013-06-01,71.5,135.515,136.122,134.6525,138.85,141.7,138.982,135.97,131.214,126.7325
2013-07-01,102.7,136.122,134.6525,138.85,141.7,138.982,135.97,131.214,126.7325,129.71
2013-08-01,76.2,134.6525,138.85,141.7,138.982,135.97,131.214,126.7325,129.71,132.388
2013-09-01,100.9,138.85,141.7,138.982,135.97,131.214,126.7325,129.71,132.388,131.055
2013-10-01,100.9,141.7,138.982,135.97,131.214,126.7325,129.71,132.388,131.055,129.1225
2013-11-01,153.1,138.982,135.97,131.214,126.7325,129.71,132.388,131.055,129.1225,128.946
2013-12-01,120.6,135.97,131.214,126.7325,129.71,132.388,131.055,129.1225,128.946,128.8775
2014-01-01,124.2,131.214,126.7325,129.71,132.388,131.055,129.1225,128.946,128.8775,126.516
2014-02-01,103.5,126.7325,129.71,132.388,131.055,129.1225,128.946,128.8775,126.516,124.73
2014-03-01,70.6,129.71,132.388,131.055,129.1225,128.946,128.8775,126.516,124.73,122.6025
2014-04-01,100.0,132.388,131.055,129.1225,128.946,128.8775,126.516,124.73,122.6025,124.7925
2014-05-01,129.5,131.055,129.1225,128.946,128.8775,126.516,124.73,122.6025,124.7925,123.05
2014-06-01,77.4,129.1225,128.946,128.8775,126.516,124.73,122.6025,124.7925,123.05,120.8225
2014-07-01,105.8,128.946,128.8775,126.516,124.73,122.6025,124.7925,123.05,120.8225,119.72
2014-08-01,94.6,128.8775,126.516,124.73,122.6025,124.7925,123.05,120.8225,119.72,117.894
2014-09-01,77.6,126.516,124.73,122.6025,124.7925,123.05,120.8225,119.72,117.894,111.685
2014-10-01,107.9,124.73,122.6025,124.7925,123.05,120.8225,119.72,117.894,111.685,110.438
2014-11-01,99.8,122.6025,124.7925,123.05,120.8225,119.72,117.894,111.685,110.438,110.4225
2014-12-01,120.1,124.7925,123.05,120.8225,119.72,117.894,111.685,110.438,110.4225,107.97
2015-01-01,58.9,123.05,120.8225,119.72,117.894,111.685,110.438,110.4225,107.97,100.88
2015-02-01,98.0,120.8225,119.72,117.894,111.685,110.438,110.4225,107.97,100.88,94.65
2015-03-01,95.1,119.72,117.894,111.685,110.438,110.4225,107.97,100.88,94.65,94.165
2015-04-01,116.3,117.894,111.685,110.438,110.4225,107.97,100.88,94.65,94.165,93.08
2015-05-01,63.9,111.685,110.438,110.4225,107.97,100.88,94.65,94.165,93.08,90.846
2015-06-01,68.3,110.438,110.4225,107.97,100.88,94.65,94.165,93.08,90.846,85.93
2015-07-01,95.5,110.4225,107.97,100.88,94.65,94.165,93.08,90.846,85.93,79.482
2015-08-01,133.6,107.97,100.88,94.65,94.165,93.08,90.846,85.93,79.482,82.34
2015-09-01,60.2,100.88,94.65,94.165,93.08,90.846,85.93,79.482,82.34,78.9775
2015-10-01,96.4,94.65,94.165,93.08,90.846,85.93,79.482,82.34,78.9775,76.62
2015-11-01,87.3,94.165,93.08,90.846,85.93,79.482,82.34,78.9775,76.62,73.345
2015-12-01,96.1,93.08,90.846,85.93,79.482,82.34,78.9775,76.62,73.345,70.645
2016-01-01,94.5,90.846,85.93,79.482,82.34,78.9775,76.62,73.345,70.645,73.924
2016-02-01,127.5,85.93,79.482,82.34,78.9775,76.62,73.345,70.645,73.924,75.1275
2016-03-01,108.1,79.482,82.34,78.9775,76.62,73.345,70.645,73.924,75.1275,87.3675
2016-04-01,155.2,82.34,78.9775,76.62,73.345,70.645,73.924,75.1275,87.3675,103.006
2016-05-01,165.2,78.9775,76.62,73.345,70.645,73.924,75.1275,87.3675,103.006,96.295
2016-06-01,117.5,76.62,73.345,70.645,73.924,75.1275,87.3675,103.006,96.295,88.0175
2016-07-01,131.5,73.345,70.645,73.924,75.1275,87.3675,103.006,96.295,88.0175,92.874
2016-08-01,112.4,70.645,73.924,75.1275,87.3675,103.006,96.295,88.0175,92.874,98.3475
2016-09-01,116.3,73.924,75.1275,87.3675,103.006,96.295,88.0175,92.874,98.3475,98.268
2016-10-01,147.6,75.1275,87.3675,103.006,96.295,88.0175,92.874,98.3475,98.268,101.385
2016-11-01,106.8,87.3675,103.006,96.295,88.0175,92.874,98.3475,98.268,101.385,115.1875
2016-12-01,133.1,103.006,96.295,88.0175,92.874,98.3475,98.268,101.385,115.1875,129.26
2017-01-01,130.6,96.295,88.0175,92.874,98.3475,98.268,101.385,115.1875,129.26,128.37
2017-02-01,306.0,88.0175,92.874,98.3475,98.268,101.385,115.1875,129.26,128.37,133.165
2017-03-01,176.4,92.874,98.3475,98.268,101.385,115.1875,129.26,128.37,133.165,137.448
2017-04-01,349.1,98.3475,98.268,101.385,115.1875,129.26,128.37,133.165,137.448,123.785
2017-05-01,174.2,98.268,101.385,115.1875,129.26,128.37,133.165,137.448,123.785,126.5
2017-06-01,130.8,101.385,115.1875,129.26,128.37,133.165,137.448,123.785,126.5,130.104
2017-07-01,227.7,115.1875,129.26,128.37,133.165,137.448,123.785,126.5,130.104,137.805
2017-08-01,228.2,129.26,128.37,133.165,137.448,123.785,126.5,130.104,137.805,149.6075
2017-09-01,164.7,128.37,133.165,137.448,123.785,126.5,130.104,137.805,149.6075,152.582
2017-10-01,206.4,133.165,137.448,123.785,126.5,130.104,137.805,149.6075,152.582,150.97
2017-11-01,142.5,137.448,123.785,126.5,130.104,137.805,149.6075,152.582,150.97,153.0725
2017-12-01,206.0,123.785,126.5,130.104,137.805,149.6075,152.582,150.97,153.0725,163.87
2018-01-01,167.7,126.5,130.104,137.805,149.6075,152.582,150.97,153.0725,163.87,150.78
2018-02-01,265.1,130.104,137.805,149.6075,152.582,150.97,153.0725,163.87,150.78,149.9125
2018-03-01,149.6,137.805,149.6075,152.582,150.97,153.0725,163.87,150.78,149.9125,147.95
2018-04-01,254.1,149.6075,152.582,150.97,153.0725,163.87,150.78,149.9125,147.95,146.68
2018-05-01,241.7,152.582,150.97,153.0725,163.87,150.78,149.9125,147.95,146.68,152.3825
2018-06-01,210.8,150.97,153.0725,163.87,150.78,149.9125,147.95,146.68,152.3825,154.344
2018-07-01,203.1,153.0725,163.87,150.78,149.9125,147.95,146.68,152.3825,154.344,154.0125
2018-08-01,395.7,163.87,150.78,149.9125,147.95,146.68,152.3825,154.344,154.0125,160.818
2018-09-01,269.5,150.78,149.9125,147.95,146.68,152.3825,154.344,154.0125,160.818,162.7375
2018-10-01,314.1,149.9125,147.95,146.68,152.3825,154.344,154.0125,160.818,162.7375,162.0275
2018-11-01,343.4,147.95,146.68,152.3825,154.344,154.0125,160.818,162.7375,162.0275,152.824
2018-12-01,438.2,146.68,152.3825,154.344,154.0125,160.818,162.7375,162.0275,152.824,142.63
2019-01-01,248.5,152.3825,154.344,154.0125,160.818,162.7375,162.0275,152.824,142.63,140.3175
2019-02-01,288.1,154.344,154.0125,160.818,162.7375,162.0275,152.824,142.63,140.3175,141.8575
2019-03-01,240.0,154.0125,160.818,162.7375,162.0275,152.824,142.63,140.3175,141.8575,144.742
2019-04-01,411.2,160.818,162.7375,162.0275,152.824,142.63,140.3175,141.8575,144.742,148.48
2019-05-01,319.4,162.7375,162.0275,152.824,142.63,140.3175,141.8575,144.742,148.48,148.999
2019-06-01,365.1,162.0275,152.824,142.63,140.3175,141.8575,144.742,148.48,148.999,145.3125
2019-07-01,649.1,152.824,142.63,140.3175,141.8575,144.742,148.48,148.999,145.3125,145.94
2019-08-01,375.9,142.63,140.3175,141.8575,144.742,148.48,148.999,145.3125,145.94,140.736
2019-09-01,396.0,140.3175,141.8575,144.742,148.48,148.999,145.3125,145.94,140.736,139.47
2019-10-01,347.4,141.8575,144.742,148.48,148.999,145.3125,145.94,140.736,139.47,138.59
2019-11-01,234.1,144.742,148.48,148.999,145.3125,145.94,140.736,139.47,138.59,140.906
2019-12-01,396.2,148.48,148.999,145.3125,145.94,140.736,139.47,138.59,140.906,141.56
2020-01-01,337.9,148.999,145.3125,145.94,140.736,139.47,138.59,140.906,141.56,139.314
2020-02-01,250.3,145.3125,145.94,140.736,139.47,138.59,140.906,141.56,139.314,132.9125
2020-03-01,195.7,145.94,140.736,139.47,138.59,140.906,141.56,139.314,132.9125,131.4825
